Year,Capital Income Ratio (%),GDP growth rate (%),GDP (£)
01/01/1856,6.79,0.04,63748000000
01/01/1857,6.69,0.06,67636000000
01/01/1858,6.25,0.05,70956000000
01/01/1859,6.12,0.09,77682000000
01/01/1860,6.32,-0.04,74894000000
01/01/1861,6.33,0.05,78481000000
01/01/1862,6.19,0.03,80829000000
01/01/1863,5.91,0.10,88877000000
01/01/1864,5.84,0.07,94699000000
01/01/1865,5.91,0.03,97346000000
01/01/1866,6.35,-0.01,96188000000
01/01/1867,7.14,-0.07,89780000000
01/01/1868,7.29,0.01,90766000000
01/01/1869,6.86,0.06,96280000000
01/01/1870,6.56,0.06,1.02E+11
01/01/1871,6.38,0.04,1.06E+11
01/01/1872,6.52,0.01,1.07E+11
01/01/1873,6.63,0.01,1.08E+11
01/01/1874,6.72,0.08,1.16E+11
01/01/1875,6.72,-0.03,1.12E+11
01/01/1876,6.87,-0.03,1.09E+11
01/01/1877,6.90,-0.02,1.07E+11
01/01/1878,6.96,0.08,1.15E+11
01/01/1879,6.79,-0.08,1.06E+11
01/01/1880,6.78,0.16,1.23E+11
01/01/1881,6.49,-0.04,1.17E+11
01/01/1882,6.36,0.01,1.18E+11
01/01/1883,6.41,0.07,1.26E+11
01/01/1884,6.47,0.00,1.26E+11
01/01/1885,6.39,-0.01,1.25E+11
01/01/1886,6.36,0.01,1.26E+11
01/01/1887,6.23,0.04,1.31E+11
01/01/1888,6.21,0.00,1.31E+11
01/01/1889,6.14,0.03,1.35E+11
01/01/1890,6.21,0.03,1.39E+11
01/01/1891,6.62,0.01,1.40E+11
01/01/1892,6.98,0.00,1.40E+11
01/01/1893,7.02,-0.01,1.38E+11
01/01/1894,6.64,0.07,1.48E+11
01/01/1895,6.56,0.02,1.50E+11
01/01/1896,6.50,0.07,1.61E+11
01/01/1897,6.69,-0.03,1.55E+11
01/01/1898,6.61,0.07,1.66E+11
01/01/1899,6.57,0.07,1.78E+11
01/01/1900,6.92,-0.02,1.74E+11
01/01/1901,7.09,0.07,1.86E+11
01/01/1902,7.09,-0.03,1.81E+11
01/01/1903,7.38,-0.02,1.78E+11
01/01/1904,7.50,0.02,1.82E+11
01/01/1905,7.27,0.03,1.87E+11
01/01/1906,7.01,0.01,1.89E+11
01/01/1907,6.86,0.01,1.90E+11
01/01/1908,7.30,-0.01,1.88E+11
01/01/1909,7.33,0.01,1.89E+11
01/01/1910,7.19,0.01,1.91E+11
01/01/1911,7.00,0.05,2.01E+11
01/01/1912,6.99,-0.01,1.99E+11
01/01/1913,6.80,0.08,2.13E+11
01/01/1914,5.61,0.01,2.15E+11
01/01/1915,4.44,0.12,2.40E+11
01/01/1916,3.51,-0.03,2.34E+11
01/01/1917,3.13,0.00,2.35E+11
01/01/1918,2.90,-0.04,2.26E+11
01/01/1919,2.55,-0.03,2.19E+11
01/01/1920,2.39,-0.07,2.04E+11
01/01/1921,2.96,-0.10,1.84E+11
01/01/1922,3.03,0.06,1.94E+11
01/01/1923,3.30,0.02,1.97E+11
01/01/1924,3.46,0.04,2.04E+11
01/01/1925,3.44,0.03,2.12E+11
01/01/1926,3.71,-0.03,2.05E+11
01/01/1927,3.52,0.09,2.24E+11
01/01/1928,3.63,0.00,2.23E+11
01/01/1929,3.40,0.03,2.30E+11
01/01/1930,3.34,0.01,2.33E+11
01/01/1931,3.69,-0.03,2.26E+11
01/01/1932,4.18,0.00,2.27E+11
01/01/1933,4.48,0.04,2.37E+11
01/01/1934,4.52,0.05,2.50E+11
01/01/1935,4.68,0.04,2.59E+11
01/01/1936,4.40,0.05,2.72E+11
01/01/1937,3.92,0.03,2.79E+11
01/01/1938,3.74,0.02,2.85E+11
01/01/1939,3.50,0.05,2.98E+11
01/01/1940,3.05,0.04,3.11E+11
01/01/1941,2.71,0.09,3.39E+11
01/01/1942,2.67,0.02,3.47E+11
01/01/1943,2.67,0.02,3.56E+11
01/01/1944,2.76,-0.02,3.48E+11
