Year,Capital Income Ratio,GDP growth rate,GDP (£)
1856,6.7909513,4.08719346,63748000000.00
1857,6.689856194,6.09947644,67636000000.00
1858,6.252802276,4.90804532,70956000000.00
1859,6.117276501,9.47987336,77682000000.00
1860,6.3172059,-3.5896192,74894000000.00
1861,6.330826622,4.79046673,78481000000.00
1862,6.191337438,2.99078883,80829000000.00
1863,5.910574657,9.95726496,88877000000.00
1864,5.842379123,6.55082024,94699000000.00
1865,5.90803331,2.7951028,97346000000.00
1866,6.351645606,-1.1894737,96188000000.00
1867,7.144215832,-6.6620468,89780000000.00
1868,7.291357971,1.09758454,90766000000.00
1869,6.862775829,6.07600081,96280000000.00
1870,6.56152219,6.03448276,102000000000.00
1871,6.379446722,3.60678259,106000000000.00
1872,6.521247753,0.72131148,107000000000.00
1873,6.628523316,1.05642713,108000000000.00
1874,6.721002166,7.90610329,116000000000.00
1875,6.716272501,-3.4998615,112000000000.00
1876,6.870807201,-2.5518341,109000000000.00
1877,6.899692405,-2.4414936,107000000000.00
1878,6.961813118,8.24888492,115000000000.00
1879,6.793312725,-8.1218542,106000000000.00
1880,6.776663892,15.7129882,123000000000.00
1881,6.490577357,-4.3778802,117000000000.00
1882,6.362779283,0.68443989,118000000000.00
1883,6.411010781,6.65953781,126000000000.00
1884,6.47091996,0.21041038,126000000000.00
1885,6.388342417,-1.2447126,125000000000.00
1886,6.356295895,1.31100584,126000000000.00
1887,6.225503204,3.98631356,131000000000.00
1888,6.20647633,-0.3058595,131000000000.00
1889,6.135124165,3.19842657,135000000000.00
1890,6.207293359,3.02137067,139000000000.00
1891,6.622891935,0.85676167,140000000000.00
1892,6.976289309,-0.4908836,140000000000.00
1893,7.024620867,-1.2869178,138000000000.00
1894,6.641335479,7.06502344,148000000000.00
1895,6.558625044,1.85285066,150000000000.00
1896,6.498131201,6.79738562,161000000000.00
1897,6.694754398,-3.2394907,155000000000.00
1898,6.606487605,6.99935191,166000000000.00
1899,6.57426256,6.82781785,178000000000.00
1900,6.921181067,-2.0959251,174000000000.00
1901,7.090895667,6.9550931,186000000000.00
1902,7.088085731,-2.5601639,181000000000.00
1903,7.3784662,-1.7510552,178000000000.00
1904,7.499760693,1.95767196,182000000000.00
1905,7.267017571,3.00985989,187000000000.00
1906,7.005467873,0.80604534,189000000000.00
1907,6.863844344,0.7161313,190000000000.00
1908,7.29803854,-1.1782032,188000000000.00
1909,7.333906816,0.56945643,189000000000.00
1910,7.189763542,1.37666993,191000000000.00
1911,7.003092163,5.20038168,201000000000.00
1912,6.994073906,-1.3151927,199000000000.00
1913,6.797270055,7.5030012,213000000000.00
1914,5.607054287,0.87939699,215000000000.00
